club,clubid,country,countrycode,governingbody,clubshortnames
NSÍ Runavík,448e1bb9,Faroe Islands,FRO,UEFA,NSÍ Runavík
Odds BK,b70ec3fa,Norway,NOR,UEFA,Odd
OFK Titograd,8dc7bf66,Montenegro,MNE,UEFA,Mladost|OFK Titograd|Titograd
OGC Nice,132ebc33,France,FRA,UEFA,Nice
Olympiacos FC,2fdb4aef,Greece,GRE,UEFA,Olympiacos
Olympique de Marseille,5725cc7b,France,FRA,UEFA,Marseille
Olympique Lyonnais,d53c0b06,France,FRA,UEFA,Lyon
Osmanlıspor FK,ed6b1d21,Turkey,TUR,UEFA,Osmanlıspor
Östersunds FK,577e2606,Sweden,SWE,UEFA,Östersund
Panathinaikos FC,f3a5726c,Greece,GRE,UEFA,Panathinaikos
Panionios FC,1ad6cc2c,Greece,GRE,UEFA,Panionios
PAOK FC,5a5e7874,Greece,GRE,UEFA,PAOK
Paris Saint-Germain FC,e2d8892c,France,FRA,UEFA,Paris S-G
PAS Giannina,6507d2b8,Greece,GRE,UEFA,PAS Giannina
PEC Zwolle,e3db180b,Netherlands,NED,UEFA,Zwolle
PFC Beroe Stara Zagora,ab7b2fe7,Bulgaria,BUL,UEFA,Beroe
PFC Botev Plovdiv,e56e174a,Bulgaria,BUL,UEFA,Botev Plovdiv
PFC Cherno More Varna,f61e60c9,Bulgaria,BUL,UEFA,Cherno More
PFC CSKA Moscow,f0c0c2c2,Russia,RUS,UEFA,CSKA Moscow
PFC CSKA Sofia,cbde2682,Bulgaria,BUL,UEFA,CSKA Sofia
PFC Levski Sofia,3a7a27c6,Bulgaria,BUL,UEFA,Levski Sofia
PFC Litex Lovech,835be610,Bulgaria,BUL,UEFA,Litex Lovech
PFC Lokomotiv Plovdiv,e0242ef1,Bulgaria,BUL,UEFA,Loko Plovdiv
PFC Ludogorets Razgrad,488c6ba1,Bulgaria,BUL,UEFA,Ludogorets
PFC Slavia Sofia,b35f18af,Bulgaria,BUL,UEFA,Slavia Sofia
PSV Eindhoven,e334d850,Netherlands,NED,UEFA,PSV Eindhoven
Qarabağ FK,44b65410,Azerbaijan,AZE,UEFA,Qarabağ FK|Qarabağ Ağdam
R. Charleroi SC,140e320a,Belgium,BEL,UEFA,Charleroi
Racing FC Union Luxembourg,406252ea,Luxembourg,LUX,UEFA,Racing Lux'bg
Randers FC,d06bc460,Denmark,DEN,UEFA,Randers
Rangers FC,86b7acd2,Scotland,SCO,UEFA,Rangers
RB Leipzig,acbb6a5b,Germany,GER,UEFA,RB Leipzig
RC Strasbourg Alsace,c0d3eab4,France,FRA,UEFA,Strasbourg
RCD Espanyol,a8661628,Spain,ESP,UEFA,Espanyol
Real Betis,fc536746,Spain,ESP,UEFA,Betis
Real Madrid CF,53a2f082,Spain,ESP,UEFA,Real Madrid
Real Sociedad,e31d1cd9,Spain,ESP,UEFA,Real Sociedad
Red Star Belgrade,099c6eb5,Serbia,SRB,UEFA,Red Star
Riga FC,91cc0413,Latvia,LVA,UEFA,Riga FC|Rīga FC
Rio Ave FC,eea856da,Portugal,POR,UEFA,Rio Ave
RNK Split,27b6696c,Croatia,CRO,UEFA,RNK Split
Rosenborg BK,90e37d3a,Norway,NOR,UEFA,Rosenborg
Rovaniemen PS,4fea542b,Finland,FIN,UEFA,RoPS
Royal Antwerp FC,c2e6b53b,Belgium,BEL,UEFA,Antwerp
RSC Anderlecht,08ad393c,Belgium,BEL,UEFA,Anderlecht
S.P. La Fiorita,6de42722,San Marino,SMR,UEFA,S.P. La Fiorita|La Fiorita
S.P. Tre Fiori,017bcbe4,San Marino,SMR,UEFA,S.P. Tre Fiori|SP Tre Fiori
S.P. Tre Penne,aaffe678,San Marino,SMR,UEFA,S.P. Tre Penne|Tre Penne
Sabail FK,6642b67e,Azerbaijan,AZE,UEFA,Səbail FK
Sarpsborg 08 FF,47b3e736,Norway,NOR,UEFA,Sarpsborg 08
SC Braga,69d84c29,Portugal,POR,UEFA,Braga
SC Freiburg,a486e511,Germany,GER,UEFA,Freiburg
SC Rheindorf Altach,80beba99,Austria,AUT,UEFA,SCR Altach
Seinäjoen SJK,c889f292,Finland,FIN,UEFA,SJK Seinäjoki
Sevilla FC,ad2be733,Spain,ESP,UEFA,Sevilla
Shamrock Rovers FC,f082c4f3,Ireland,IRL,UEFA,Shamrock Rov
SK Brann,aeae4fe1,Norway,NOR,UEFA,Brann
SK Rapid Wien,912e4c40,Austria,AUT,UEFA,Rapid Wien
SK Sigma Olomouc,41c6978d,Czech Republic,CZE,UEFA,Sigma Olomouc
SK Slavia Prague,111cbfb1,Czech Republic,CZE,UEFA,Slavia Prague
ŠK Slovan Bratislava,ae7f2f70,Slovakia,SVK,UEFA,ŠK Slovan Bratislava|Slovan Bratislava|Sl. Bratislava
SK Sturm Graz,3f4fe568,Austria,AUT,UEFA,Sturm Graz
SKN St. Pölten,f722bd04,Austria,AUT,UEFA,St. Pölten
Skonto FC,89873a40,Latvia,LVA,UEFA,Skonto FC
SL Benfica,a77c513e,Portugal,POR,UEFA,Benfica
Sliema Wanderers FC,7465f27b,Malta,MLT,UEFA,Sliema
Sligo Rovers FC,0baacc84,Ireland,IRL,UEFA,Sligo Rovers FC
SønderjyskE Fodbold,7700eac9,Denmark,DEN,UEFA,SønderjyskE
Southampton FC,33c895d4,England,ENG,UEFA,Southampton
SP Zawisza Bydgoszcz,25a0a787,Poland,POL,UEFA,Zawisza
Spartak Myjava,591295f1,Slovakia,SVK,UEFA,Spartak Myjava
Speranța Nisporeni,78b01d1b,Moldova,MDA,UEFA,Speranţa
Sporting CP,13dc44fd,Portugal,POR,UEFA,Sporting CP
Sporting Lokeren,bada91db,Belgium,BEL,UEFA,Lokeren
SS Folgore Falciano Calcio,c582b1da,San Marino,SMR,UEFA,Folgore
SS Lazio,7213da33,Italy,ITA,UEFA,Lazio
SSC Napoli,d48ad4ff,Italy,ITA,UEFA,Napoli
St Johnstone FC,dd289621,Scotland,SCO,UEFA,St Johnstone
St Patrick's Athletic FC,8a814429,Ireland,IRL,UEFA,St Patrick's|St. Patrick's
St. Joseph's FC,bb780485,Gibraltar,GIB,UEFA,St. Joseph's
Stabæk Fotball,c2153ae4,Norway,NOR,UEFA,Stabæk
Stade Rennais FC,b3072e00,France,FRA,UEFA,Rennes
Standard Liège,33c6b26e,Belgium,BEL,UEFA,Standard Liège
Stjarnan,f13065a8,Iceland,ISL,UEFA,Stjarnan
Strømsgodset Toppfotball,90eb0dcc,Norway,NOR,UEFA,Strømsgodset
SV Grödig,d40080b0,Austria,AUT,UEFA,Grödig
SV Zulte Waregem,ecd34b98,Belgium,BEL,UEFA,Zulte Waregem
The New Saints FC,fd12ff13,Wales,WAL,UEFA,The New Saints
Torino FC,105360fe,Italy,ITA,UEFA,Torino
Tottenham Hotspur FC,361ca564,England,ENG,UEFA,Tottenham
Trabzonspor,c8ad3091,Turkey,TUR,UEFA,Trabzonspor
Tromsø IL,a3ee587a,Norway,NOR,UEFA,Tromsø
TSG 1899 Hoffenheim,033ea6b8,Germany,GER,UEFA,Hoffenheim
UC Sampdoria,8ff9e3b3,Italy,ITA,UEFA,Sampdoria
UE Engordany,b784c866,Andorra,AND,UEFA,UE Engordany|Engordany
UE Sant Julià,78816dd0,Andorra,AND,UEFA,UE Sant Julià
UE Santa Coloma,84a33cca,Andorra,AND,UEFA,Santa Coloma
Újpest FC,108607cf,Hungary,HUN,UEFA,Újpest
Ulisses FC,3bc8afc5,Armenia,ARM,UEFA,Ulisses FC
University College Dublin AFC,04dcef70,Ireland,IRL,UEFA,UC Dublin
US Sassuolo Calcio,e2befd26,Italy,ITA,UEFA,Sassuolo
Vaasan PS,8b63ce55,Finland,FIN,UEFA,VPS
Valencia CF,dcc91a7b,Spain,ESP,UEFA,Valencia
Valletta FC,3f53cc7a,Malta,MLT,UEFA,Valletta FC|Valletta
Valur,b838366a,Iceland,ISL,UEFA,Valur
Vasas FC,bbb935cb,Hungary,HUN,UEFA,Vasas
VfL Wolfsburg,4eaa11d7,Germany,GER,UEFA,Wolfsburg
Víkingur Gøta,ea73b616,Faroe Islands,FRO,UEFA,Víkingur Gøta
Villarreal CF,2a8183b3,Spain,ESP,UEFA,Villarreal
Vitesse Arnhem,209d7fa2,Netherlands,NED,UEFA,Vitesse
Vitória de Guimarães,3f319bc9,Portugal,POR,UEFA,Vitória
VMFD Žalgiris Vilnius,4c6489de,Lithuania,LTU,UEFA,Žalgiris
West Ham United FC,7c21e445,England,ENG,UEFA,West Ham
WKS Śląsk Wrocław,c582b57f,Poland,POL,UEFA,Śląsk Wrocław
Wolfsberger AC,426658a6,Austria,AUT,UEFA,Wolfsberger AC
Wolverhampton Wanderers FC,8cec06e1,England,ENG,UEFA,Wolves
Yeni Malatyaspor,4cc7a87b,Turkey,TUR,UEFA,Y. Malatyaspor
Zira FK,ffb7956e,Azerbaijan,AZE,UEFA,Zira
