predset,minuteclean,rmserror
predictions,1,0.4059033247291028
predictions,2,0.40523297337068426
predictions,3,0.405614542519326
predictions,4,0.40471347212766146
predictions,5,0.4047573055679909
predictions,6,0.4011558619266117
predictions,7,0.40439094759402133
predictions,8,0.4040176785189218
predictions,9,0.4038594044903208
predictions,10,0.4022700008483912
predictions,11,0.40290114809974054
predictions,12,0.40225971270342775
predictions,13,0.4048235532089799
predictions,14,0.40526167548364256
predictions,15,0.40501405907426513
predictions,16,0.4052008713953913
predictions,17,0.40521660875939425
predictions,18,0.4026818147788794
predictions,19,0.4022318861792843
predictions,20,0.4002313692172179
predictions,21,0.4011724685307144
predictions,22,0.4004372900194909
predictions,23,0.39958722166321653
predictions,24,0.3995280389857409
predictions,25,0.3983552909512959
predictions,26,0.399362898342781
predictions,27,0.3986108839716091
predictions,28,0.397066583546281
predictions,29,0.39551690400644113
predictions,30,0.3911685715702558
predictions,31,0.3895212959143385
predictions,32,0.388523961187071
predictions,33,0.3882832537582137
predictions,34,0.38562135081805454
predictions,35,0.3858703514428191
predictions,36,0.38641353923801264
predictions,37,0.3861616814576813
predictions,38,0.3861254818873298
predictions,39,0.38612793393383754
predictions,40,0.38920121865475227
predictions,41,0.38977569012968505
predictions,42,0.38863279807778583
predictions,43,0.3890600909173014
predictions,44,0.3861955160607953
predictions,45,0.3776322719259537
predictions,46,0.37760776918004535
predictions,47,0.37672191706103997
predictions,48,0.37776589746487615
predictions,49,0.3763744893580709
predictions,50,0.3744986429105172
predictions,51,0.3737168668757991
predictions,52,0.3763941371540887
predictions,53,0.3774932567321236
predictions,54,0.37862833293588233
predictions,55,0.37512639236392514
predictions,56,0.3728201967525703
predictions,57,0.37095145808981794
predictions,58,0.3697786377890435
predictions,59,0.3672577281404807
predictions,60,0.3683183476933028
predictions,61,0.36806200616767243
predictions,62,0.36666944379977495
predictions,63,0.366998392841915
predictions,64,0.35921631083648475
predictions,65,0.35616826415365377
predictions,66,0.3546896097571005
predictions,67,0.35134499392653185
predictions,68,0.3500806096891366
predictions,69,0.35101284338081806
predictions,70,0.3482352284837335
predictions,71,0.3464992180693853
predictions,72,0.34779819365352954
predictions,73,0.3474972075426165
predictions,74,0.3481323624264461
predictions,75,0.34441249477390234
predictions,76,0.3459522348602338
predictions,77,0.34563234537802684
predictions,78,0.3445884847010387
predictions,79,0.342857815225156
predictions,80,0.3414842082580838
predictions,81,0.3393831808927568
predictions,82,0.34176282238920397
predictions,83,0.34219749645463926
predictions,84,0.34024991772257845
predictions,85,0.34023672082791007
predictions,86,0.3360112030448453
predictions,87,0.3358783693980603
predictions,88,0.3407518239458909
predictions,89,0.34170182094042284
predictions,90,0.34150772501640264
predictions,91,0.3404074279239277
predictions,92,0.3432512220396304
predictions,93,0.34083297916738686
predictions,94,0.34244855190914897
predictions,95,0.3456103425857955
predictions,96,0.34524444882245087
predictions,97,0.3455343697440256
predictions,98,0.342969147953637
predictions,99,0.3428537442192163
predictions,100,0.333709823756673
predictions,101,0.3395682648631656
predictions,102,0.33915166197773783
predictions,103,0.3367317662397921
predictions,104,0.3354744835841744
predictions,105,0.33591450738609446
predictions,106,0.33442893151511055
predictions,107,0.33115593804992277
predictions,108,0.33130266646790885
predictions,109,0.3293584910774053
predictions,110,0.3326433914914408
predictions,111,0.3338952340874201
predictions,112,0.33429205426945396
predictions,113,0.337861847403519
predictions,114,0.3386855261410911
predictions,115,0.3356290425782613
predictions,116,0.3298137775226934
predictions,117,0.3248935324909452
predictions,118,0.3260445376540145
predictions,119,0.32540977696827544
predictions,120,0.3263543563445365
predictions,121,0.32636261190095034
predictions,122,0.32626229369606924
predictions,123,0.3238384841150967
predictions,124,0.3201765132522246
predictions,125,0.31805265251487785
predictions,126,0.31531102589327026
predictions,127,0.3154793064317652
predictions,128,0.31031814385625334
predictions,129,0.31029078990731285
predictions,130,0.310739256493861
predictions,131,0.3107320055834191
predictions,132,0.30932510597784946
predictions,133,0.30824769260532164
predictions,134,0.3093175590222486
predictions,135,0.31135153039323415
predictions,136,0.3114513115241793
predictions,137,0.3087791996337689
predictions,138,0.30485583115362674
predictions,139,0.31159124168177327
predictions,140,0.31335797076470046
predictions,141,0.31356324100604865
predictions,142,0.31349895451986
