predset,minuteclean,rmserror
predictions,1,0.4109226141350511
predictions,2,0.4103383868829375
predictions,3,0.4118218545982028
predictions,4,0.4098477322829049
predictions,5,0.4099443629212923
predictions,6,0.4066891417328204
predictions,7,0.4096315624579864
predictions,8,0.4093151551624524
predictions,9,0.4091929922763355
predictions,10,0.40777591493549875
predictions,11,0.40942316386085703
predictions,12,0.4078398516529214
predictions,13,0.4100231784730402
predictions,14,0.4114926870868803
predictions,15,0.4116733490680354
predictions,16,0.4110677983478013
predictions,17,0.4110995140380209
predictions,18,0.40884079064715123
predictions,19,0.40844628567068675
predictions,20,0.4066555857079709
predictions,21,0.407507140688308
predictions,22,0.40693166546467235
predictions,23,0.406174478081592
predictions,24,0.4061369211393505
predictions,25,0.40507686623907985
predictions,26,0.40508107158564
predictions,27,0.4044128897271337
predictions,28,0.40298707494253644
predictions,29,0.4010298964020277
predictions,30,0.3971369349847135
predictions,31,0.3956860561423379
predictions,32,0.3947988939940387
predictions,33,0.3945831729743062
predictions,34,0.39225977245247506
predictions,35,0.39249911953870836
predictions,36,0.3920701134335593
predictions,37,0.3910070999320493
predictions,38,0.3909535138864517
predictions,39,0.3908813471226923
predictions,40,0.39365619787872247
predictions,41,0.3941813383129007
predictions,42,0.3930417839532358
predictions,43,0.39290299470886575
predictions,44,0.3915102067145461
predictions,45,0.3838253927343994
predictions,46,0.38378063557908
predictions,47,0.38433826453270276
predictions,48,0.3853406430814936
predictions,49,0.38311639838999434
predictions,50,0.38144815962613166
predictions,51,0.3817226717141153
predictions,52,0.38329636796044186
predictions,53,0.38391362712041777
predictions,54,0.3849611532592141
predictions,55,0.381867304113068
predictions,56,0.3787986193843104
predictions,57,0.37687465311321555
predictions,58,0.3751099384510445
predictions,59,0.37471073474627137
predictions,60,0.37570240177431935
predictions,61,0.37543543546782193
predictions,62,0.3735186077852856
predictions,63,0.3738542071819467
predictions,64,0.36691672965340666
predictions,65,0.36417944430737775
predictions,66,0.36471240042818365
predictions,67,0.3607086084313245
predictions,68,0.3596333630534678
predictions,69,0.361713471687834
predictions,70,0.3592471856322124
predictions,71,0.3576035158193341
predictions,72,0.357463067694921
predictions,73,0.3579301371078021
predictions,74,0.3585505375556263
predictions,75,0.35196698690121125
predictions,76,0.35335607081241627
predictions,77,0.3520408180128983
predictions,78,0.35112815981087314
predictions,79,0.3495582947387227
predictions,80,0.3483961120826332
predictions,81,0.34902685456121535
predictions,82,0.3487822343717512
predictions,83,0.34922756198726695
predictions,84,0.3474766749554187
predictions,85,0.3476499947417031
predictions,86,0.3444324689982577
predictions,87,0.3443648522942653
predictions,88,0.34874823781312364
predictions,89,0.3495643983055868
predictions,90,0.34906250207673717
predictions,91,0.3480760237415783
predictions,92,0.3506398603935401
predictions,93,0.34850494843756347
predictions,94,0.35000062413227395
predictions,95,0.35281648872672
predictions,96,0.3525968949127965
predictions,97,0.35263565212666587
predictions,98,0.3503405817589588
predictions,99,0.35186087119509857
predictions,100,0.34308629517483935
